destination,origon,year,value,world_tot,pct_v_world,med_tot,pct_v_med,med_region,Latitude,Longitude
Tunisia,WORLD,2000,36719,173230585,0.000211966,20265739,0.001811876,Southern Mediterranean,34,9
Tunisia,WORLD,2005,35040,191446828,0.000183027,25646897,0.001366247,Southern Mediterranean,34,9
Tunisia,WORLD,2010,43172,220983187,0.000195363,32307811,0.001336271,Southern Mediterranean,34,9
Tunisia,WORLD,2015,56532,247958644,0.00022799,36161904,0.001563303,Southern Mediterranean,34,9
Tunisia,WORLD,2020,60145,280598105,0.000214346,40558200,0.001482931,Southern Mediterranean,34,9
Western Sahara,WORLD,1990,2688,152986157,1.76E-05,16142994,0.000166512,Southern Mediterranean,24.5,-13
Western Sahara,WORLD,1995,2989,161289976,1.85E-05,18182342,0.00016439,Southern Mediterranean,24.5,-13
Western Sahara,WORLD,2000,3289,173230585,1.90E-05,20265739,0.000162294,Southern Mediterranean,24.5,-13
Western Sahara,WORLD,2005,3891,191446828,2.03E-05,25646897,0.000151714,Southern Mediterranean,24.5,-13
Western Sahara,WORLD,2010,4493,220983187,2.03E-05,32307811,0.000139069,Southern Mediterranean,24.5,-13
Western Sahara,WORLD,2015,5179,247958644,2.09E-05,36161904,0.000143217,Southern Mediterranean,24.5,-13
Western Sahara,WORLD,2020,5424,280598105,1.93E-05,40558200,0.000133734,Southern Mediterranean,24.5,-13
France,WORLD,1990,5897267,152986157,0.038547716,16142994,0.365314328,Western Europe,46,2
France,WORLD,1995,6087993,161289976,0.037745638,18182342,0.334829969,Western Europe,46,2
France,WORLD,2000,6278718,173230585,0.036244858,20265739,0.309819346,Western Europe,46,2
France,WORLD,2005,6737600,191446828,0.035193062,25646897,0.262706245,Western Europe,46,2
France,WORLD,2010,7309986,220983187,0.033079376,32307811,0.22626064,Western Europe,46,2
France,WORLD,2015,7878338,247958644,0.03177279,36161904,0.21786292,Western Europe,46,2
France,WORLD,2020,8524876,280598105,0.030381089,40558200,0.210188717,Western Europe,46,2
Monaco,WORLD,1990,20359,152986157,0.000133077,16142994,0.001261166,Southern Europe,43.7333,7.4
Monaco,WORLD,1995,21060,161289976,0.000130572,18182342,0.001158267,Southern Europe,43.7333,7.4
Monaco,WORLD,2000,21787,173230585,0.000125769,20265739,0.001075066,Southern Europe,43.7333,7.4
Monaco,WORLD,2005,21312,191446828,0.000111321,25646897,0.000830978,Southern Europe,43.7333,7.4
Monaco,WORLD,2010,21132,220983187,9.56E-05,32307811,0.000654083,Southern Europe,43.7333,7.4
Monaco,WORLD,2015,25983,247958644,0.000104788,36161904,0.000718519,Southern Europe,43.7333,7.4
Monaco,WORLD,2020,26601,280598105,9.48E-05,40558200,0.000655872,Southern Europe,43.7333,7.4
